timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,22280,2.66,0.88,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 15:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 15:00:00+02,16.5325,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,22280,3.686,1.176,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 16:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 16:00:00+02,17.085,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,22280,3.638,1.114,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 17:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 17:00:00+02,17.3375,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,22280,4.82,1.765,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 18:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 18:00:00+02,16.425,47.5,1009.25,4.013015324,274.375303,,2019,5,28,18
2019-05-28 19:00:00+02,22280,3.633333333,1.446666667,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 19:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 19:00:00+02,15.6125,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,22280,2.772,0.974,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 20:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 20:00:00+02,14.775,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,22280,1.861666667,1.078333333,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 21:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 21:00:00+02,13.795,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,22280,3.822,1.742,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 22:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 22:00:00+02,12.51,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,22280,4.636,2.524,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-28 23:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-28 23:00:00+02,11.6225,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,22280,2.815,1.168333333,SRID=4326;POINT(9.17 48.786 295.3),3220785,2019-05-29 00:00:00+023220785,3220785,Stadtkreis Stuttgart,2019-05-29 00:00:00+02,11.0825,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
